	Language	Source	Date	Text	CurrentYear	Year	Year_Numeric
31	Latvian	diena.lv	2009/10/22	"Ikgadējais čempionāts ""Latvijas lielākais ķirbis"" šogad norisinās jau ceturto reizi, tādējādi popularizējot Latvijas dārzeņu augstvērtīgās īpašības. Pērn čempiona titulu ieguva Jānis Kalvāns no Rīgas rajona Piņķiem ar ķirbi, kura apkārtmērs bija 2 metri un 14 centimetri, bet svars – 61,05 kilogrami. Vai šogad rezultāts tiks pārspēts, uzzināsim jau 23.oktobrī!"	2022	2009	2009
34	Latvian	diena.lv	2010/01/15	Gada vārda, nevārda un spārnotā teiciena meklēšana ir beigusies, un rezultāti tiks paziņoti 18.janvāri, informē Rīgas Latviešu biedrības Latviešu valodas attīstības kopas koordinatore Maija Sinka. Arī pērn īpaši pamanīti sabiedrībā pazīstamu cilvēku spilgti teicieni. Visaktīvāk vārdu, nevārdus un teicienus iesūtījuši jaunieši, bet savus ieteikumus un idejas snieguši arī valodu pētnieki un speciālisti.	2022	2010	2010
15	Latvian	diena.lv	2010/03/31	Līdz LBL pamatturnīra beigām atlicis aizvadīt divas spēles – sestdien Valmieras un Liepājas basketbolisti vēlreiz tiksies savā starpā, savstarpējo maču aizvadīs arī abi Rīgas klubi VEF Rīga un Barons, kas jau nodrošinājuši vietu pusfinālā.	2022	2010	2010
18	Latvian	diena.lv	2010/05/21	Šo svētdien tas parādīsies Nordea Rīgas maratonā, savukārt 28. un 29.maijā blondīņu festivālā Go Blonde. Nākamo mēnešu laikā eglītes tēls turpinās iesaistīties citos nozīmīgos pasākumos.	2022	2010	2010
2	Latvian	diena.lv	2010/07/30	To Dienai apliecināja divi šīs ballītes viesi – Rīgas vicemērs Ainārs Šlesers (LPP/LC) un Jūrmalas mērs Romualds Ražuks (PS).	2022	2010	2010
9	Latvian	diena.lv	2010/08/31	RTAB, kura izveidi savulaik iniciējis galvaspilsētas vicemērs Ainārs Šlesers (LPP/LC), konkursu par Live Rīga satura izstrādi, atjaunošanu un tulkošanas pakalpojumiem izsludināja jūlija vidū, taču šajā laikā savus pieteikumus iesūtījuši tikai divi pretendenti.	2022	2010	2010
23	Latvian	diena.lv	2011/02/28	"Saktastirgotāja Inta Koļesņikova A pauda bažas, ka Rīgas nami jaunajos paviljonos atļaujas izsniegs bez konkursa, līdz ar to daži tirgotāji tomēr varētu palikt bez iztikas avota. Patlaban tirgotāji no Amerika saņēmuši solījumu, ka jaunajos paviljonos atradīsies vieta visiem līdzšinējiem tirgotājiem, taču Koļesņikova norāda, ka ""solīts makā nekrīt"". Viņa arī pauda neizpratni, kāpēc paviljona būvniecības projektu nebija iespējams uzticēt līdzšinējam apsaimniekotājam - Rīgas dārzi un parki. ""Protams, mēs visi ļoti vēlamies, lai ""Saktas"" tirdziņš beidzot tiktu sakārtots, bet es uzskatu, ka tas ir ""Latvijas Pirmās partijas"" reklāmas projekts,"" teica Koļesņikova."	2022	2011	2011
11	Latvian	diena.lv	2011/05/13	Tieto darbinieki ir aizrautīgi un aktīvi, ko apliecina nu jau par tradīciju kļuvusī piedalīšanās Nordea Rīgas maratonā, kā arī regulāras kopīgās sporta aktivitātes – futbols, volejbols, basketbols, sieviešu frīsbija komanda Tieto Bees, piedalīšanās velomaratonos un daudzas citas aktivitātes. Šī rosība atspoguļo arī Tieto vērtības – mēs rūpējamies par mūsu cilvēkiem un mēs kopā ne tikai strādājam, bet kopīgi piedalāmies arī dažādās sportiskās aktivitātēs.	2022	2011	2011
19	Latvian	diena.lv	2011/05/26	"Atbalstu fonda idejai apliecinājuši Romas katoļu baznīcas Latvijā Rīgas arhibīskaps - metropolīts Zbigņevs Stankevičs, Latvijas Evaņģēliski luteriskās baznīcas Rīgas arhibīskaps Jānis Vanags, Latvijas Pareizticīgo baznīcas Rīgas un visas Latvijas metropolīts Aleksandrs Kudrjasovs, Latvijas Baptistu draudžu savienība, kā arī atsevišķu atbalstu izteikušas arī 44 baptistu draudzes un bīskaps Pēteris Sproģis, Septītās dienas adventistu draudžu savienības bīskaps Viesturs Reķis, Latvijas vecticībnieku Pomoras baznīcas loceklis Nikolajs Ivanovs, Latvijas Vasarsvētku draudžu apvienības bīskapa vietnieks Modris Ozolinkevičs, kristīgais centrs Labā Vēsts, organizācijas ""Prieka vēsts"" un ""Jaunā paaudze""."	2022	2011	2011
28	Latvian	diena.lv	2011/06/22	"Lielākā daļa ""Maxima X"" veikalu 23.jūnijā būs atvērti no pulksten 8 līdz 22, izņemot veikalus Iecavā, Rīgas ielā 27, un Rīgā, Spīķeru ielā 8, kas strādās no pulksten 7 līdz 22, ""Maxima X"" veikalu centrāltirgū, kas strādās no pulksten 7.30 līdz 20, ielā, un Aizkrauklē, Skolas ielā, kas strādās no pulksten 8 līdz"	2022	2011	2011
57	Latvian	diena.lv	2011/08/04	«Pašlaik nevar runāt par mākslīgu cenu burbuli, tā ir likumsakarīga īpašumu vērtības palielināšanās tajos tirgus segmentos, kuros ir audzis pieprasījums,» norāda Latio valdes priekšsēdētājs Edgars Šīns. Viņš piebilst: lai jūtami palielinātos īpašumu cena citviet Rīgā un Latvijā, ir jāaug vietējo iedzīvotāju maksātspējai.	2022	2011	2011
10	Latvian	diena.lv	2011/08/19	Veselības inspekcija aicināja iedzīvotājus rūpīgi pārdomāt peldvietas izvēli, jo neoficiālajās peldvietās regulāras valsts finansētas peldūdens kvalitātes pārbaudes netiek veiktas. Tāpat inspekcija aicina iedzīvotājus drošai peldei izmantot kādu no Rīgas vai Jūrmalas oficiālajām peldvietām.	2022	2011	2011
36	Latvian	diena.lv	2011/08/22	Ryanair no Rīgas pašlaik veic lidojumus uz 15 galamērķiem ‒ Brēmeni, Briseli (Šarleruā lidostu), Bristoli, Diseldorfu (Vēzes lidostu), Dublinu, Frankfurti pie Mainas (Hānas lidostu), Glāzgovu (Prestvikas lidostu), Īstmidlendu, Liverpūli, Londonu (Stanstedas lidostu), Milānu (Bergamo lidostu), Oslo (Riges lidostu), Romu (Čampino lidostu), Stokholmu (Skavstas lidostu) un Tamperi.	2022	2011	2011
33	Latvian	diena.lv	2011/08/22	Tajā ar saviem darbiem piedalās individuāli strādājoši meistari un mākslinieki no tautas lietišķās mākslas studijām, tajā skaitā metālkalēju, rotu un tekstilmākslas studijas no Rīgas, portālu Diena.lv informēja Rīgas domes Izglītības, kultūras un sporta departamenta sabiedrisko attiecību projektu vadītāja Indra Vilde.	2022	2011	2011
