	Language	Source	Date	Text
81203	Ukranian	unian.net	2011/06/06	Сьогодні воротар ФК «Оболонь» (Київ) Олександр РИБКА уклав контракт з ФК «Шахтар» (Донецьк).
106614	Ukranian	unian.net	2011/04/22	"Діалог з Українською православною церквою Київського патріархату має проходити виключно на основі Євангелія, традицій і канонів Православної церкви. Про це в інтерв'ю газеті ""Известия"" заявив Предстоятель Української православної церкви МП митрополит Київський і всієї України Володимир."
10955	Ukranian	unian.net	2011/07/14	Київрада не підтримала проект рішення, підготовлений представниками фракції Партії регіонів, про виділення священикам Свято-Іллінської парафії Української православної церкви Московського патріархату приміщень на кладовищах для проведення консультацій при організації поховальних обрядів.
238980	Ukranian	unian.net	2011/05/28	Як передає кореспондент УНІАН, до Київського районного суду Донецька на засідання прибув сам С.СМОЛАНОВ, який продовжує працювати на своїй посаді й перебуває на підписці про невиїзд, а також ще п`ятеро підсудних - колишніх і нинішніх посадовців ДВГРС – Анатолій ЗАПОЛЬСЬКИЙ, Олександр АНОХІН, Ігор СМОЛАНОВ, Ігор ЄФИМЕНКО і Анатолій ПИЛИПЕНКО. На засідання також прибули адвокати всіх підсудних, державний обвинувач і ряд осіб, визнаними потерпілими у даній справі.
29287	Ukranian	unian.net	2011/06/22	Як передає кореспондент УНІАН, біля Михайлівського золотоверхого монастиря молилися й виступали представники різних конфесій, зокрема Української православної церкви Київського патріархату, Української православної церкви Московського патріархату, Української греко-католицької церкви та Української автокефальної православної церкви; Римо-Католицької церкви, Всеукраїнського конгресу юдейських громад, Духовного управління мусульман України, Вірменської апостольської церкви, Всеукраїнського союзу християн віри євангельської та Української християнської євангельської церкви.
139074	Ukranian	unian.net	2011/04/29	На березі Київського водосховища у селі Косачівка Козелецького району Чернігівської області горять 70 га очерету, існує загроза розповсюдження вогню на лісовий масив.
178378	Ukranian	unian.net	2011/04/27	Семінар відбудеться сьогодні, 27 квітня. Початок о 19.00. Тривалість семінару три години. Адреса – м. Київ, вул. Хрещатик, 4.
201857	Ukranian	unian.net	2011/07/07	За словами голови Київської облдержадміністрації Анатолія ПРИСЯЖНЮКА, під чиїм патронатом було організовано святкування, саме такі заходи сприяють збереженню і популяризації українських національних традицій, з таких моментів складається і туристична привабливість регіону.
50525	Ukranian	unian.net	2011/04/05	Виставка триватиме з 12 по 15 травня 2011 року в виставковому центрі «КиївЕкспоПлаза» (м. Київ, вул. Салютна, 2б).
220741	Ukranian	unian.net	2011/02/05	Як повідомила власному кореспонденту УНІАН в РФ викладач української мови в МДЛУ Людмила ГМИРЯ, викладання української мови в університеті забезпечують педагогічні кадри з Національного педагогічного університету ім. М.П.Драгоманова (м.Київ), які працюють за обміном. За її словами, Угода про співробітництво між навчальними закладами діє з 2004 року.
227763	Ukranian	unian.net	2011/07/20	Поряд з цим керівництво зазначеної установи інформує, що в рамках виконання рекомендацій фахівців Київської міської клінічної лікарні швидкої медичної допомоги на 20 липня заплановано проведення додаткового клініко-лабораторного обстеження Ю.ЛУЦЕНКА з метою уточнення стану його здоров’я.
23725	Ukranian	unian.net	2011/05/18	О.ДОНІЙ розповів, що фестиваль «Київська Барикада» імені Юрка Покальчука проходитиме у Києві 17-21 травня. За його словами, головною його метою є популяризація сучасної української літератури.
279500	Ukranian	unian.net	2011/04/06	Довідка УНІАН. У червні 2004 року на засіданні Київради після ухвалення рішення про відкриття на Лук`янівській площі у Києві театрально-видовищного закладу “Київська мала опера”, повідомлялося, що будівля, в якій планується відкрити культурний заклад, ще на початку XX століття використовувалась як видовищний соціальний об`єкт, де ставилися опери.
61051	Ukranian	unian.net	2011/06/04	"Водночас прокуратурою Київського району Харкова проведено перевірку щодо законності дій службових осіб ПП ""ЛА ВІТА ФЕЛІЧЕ"" та Харківського центру репродукції людини ТОВ ""Сана-Мед"" під час здійснення штучного запліднення громадянки Б."
199777	Ukranian	unian.net	2011/03/31	Як повідомили УНІАН у прес-службі міськради, про це він заявив після заслуховування звіту голови КМДА Олександра ПОПОВА у Київраді.
279259	Ukranian	unian.net	2011/04/26	За його словами, Київ почав «танцювати під дудку» Брюсселя у відносинах з Білоруссю.
35170	Ukranian	unian.net	2011/05/04	На думку члена спеціальної контрольної комісії Верховної Ради з питань приватизації Андрія ШКІЛЯ, спроба «МАУ» оспорити правомірність надання «АероСвіту» прав на маршрут «Київ-Лондон» спрямована на штучне обмеження конкуренції.
52915	Ukranian	unian.net	2011/07/25	«Хочу зауважити, що це («Формула-1» на воді – УНІАН) соціальний проект. Квитки на чемпіонат світу продаватись не будуть. Спочатку ми думали якусь кількість продати, але враховуючи те, що був великий ажіотаж, ми вирішили ці білети розповсюдити серед міст і районів Київської області і Києва», - сказав А.ПРИСЯЖНЮК.
292419	Ukranian	unian.net	2011/04/20	Депутат Київради, член фракції «БЮТ-Батьківщина» Олександр БРИГИНЕЦЬ заявляє, що його колеги по фракції сьогодні не братимуть участь у голосуванні за кандидатуру нового секретаря міськради.
134035	Ukranian	unian.net	2011/04/20	«У грі за посаду нового секретаря Київради поки є лише одна константа – фракція «БЮТ-Батьківщина» не голосує й не бере бюлетені», - сказав О.БРИГИНЕЦЬ.
70675	Ukranian	unian.net	2011/08/07	Кредитна угода визначає загальні умови надання кредиту: 15 років із пільговим періодом 4 роки, суму позики – 450 млн. євро) та відповідальність сторін, а також містить посилання на інші документи, які є обов’язковими до виконання під час реалізації Проекту та на співфінансування з ЄІБ. Зокрема, обов’язковими умовами для підписання Кредитної угоди є укладення Субкредитної угоди (між Державною службою автомобільних доріг України та Міністерством фінансів України, яка підписана 20 січня 2011 року) та Проектної угоди (між Державною службою автомобільних доріг України та Європейським банком реконструкції та розвитку). Угоди (кредитну та проектну) було підписано 26 листопада 2010 р. у м. Київ.
18992	Ukranian	unian.net	2011/05/04	Як повідомили УНІАН у прес-службі Київської міськдержадміністрації з посиланням на Головне управління з питань підготовки та проведення в Україні фінальної частини Чемпіонату Європи 2012 року з футболу, відповідно до вимог УЄФА у Києві буде організована одна офіційна фан-зона Євро-2012.
